CUS_ID,TRN_ID,VENDOR_ID,M_ENTITY,O_ENTITY,PROCESSING_DATE,SERVICE_DATE,TRANSACTION_DATE,ORDER_DATE,TRANSACTION_CODE,FEE_CURRENCY,BASE_CURRENCY,TARGET_CURRENCY,EXCHANGE_RATE,BASE_REVENUE,BASE_REVENUE_LOCAL,CALCULATION_FACTOR,CALCULATED_VALUE
1,10000,B,B,7R,2025-02-09,2025-05-02,2025-05-21,2025-02-14,X,,USD,GBP,0.79289,396.7,314.54,2,629.08
2,9999,A,A,ZZ,2025-01-17,2025-03-13,2025-04-24,2025-06-28,X,,USD,GBP,0.79289,1530.0,1213.12,5,6065.6
3,9998,A,A,ZZ,2025-07-16,2025-08-11,2025-07-04,2025-05-25,X,,USD,GBP,0.79289,294.0,233.11,2,466.22
4,9997,B,B,3B,2025-01-17,2025-04-30,2025-04-07,2025-03-05,X,,EUR,GBP,0.8276,351.42,290.84,2,581.68
5,9996,B,B,3B,2025-09-20,2025-04-05,2025-05-29,2025-01-13,X,,EUR,GBP,0.8276,536.0,443.59,2,887.18
6,9995,B,B,3B,2025-07-29,2025-08-06,2025-04-07,2025-03-29,X,,EUR,GBP,0.8276,415.03,343.48,2,686.96
7,9994,B,B,3B,2025-08-26,2025-06-07,2025-07-22,2025-09-18,X,,SGD,GBP,0.58494,3314.7,1938.9,3,5816.7
8,9993,B,B,3B,2025-09-24,2025-04-12,2025-02-01,2025-01-20,X,,EUR,GBP,0.8276,457.0,378.21,2,756.42
9,9992,B,B,3B,2025-07-14,2025-03-20,2025-04-14,2025-05-22,X,,EUR,GBP,0.8276,173.5,143.59,2,287.18
10,9991,B,B,3B,2025-06-12,2025-03-25,2025-07-26,2025-01-03,X,,USD,GBP,0.79289,196.75,156.0,2,312.0
11,9990,B,B,3B,2025-06-30,2025-04-29,2025-05-29,2025-01-02,X,,ZAR,GBP,0.04344,8576.74,372.57,4,1490.28
12,9989,B,B,3B,2025-02-06,2025-08-04,2025-04-05,2025-06-02,X,,EUR,GBP,0.8276,143.98,119.16,2,238.32
13,9988,B,B,3B,2025-04-10,2025-08-03,2025-06-10,2025-03-14,X,,EUR,GBP,0.8276,212.58,175.93,2,351.86
14,9987,I,I,3B,2025-01-15,2025-08-11,2025-03-07,2025-04-15,X,,GBP,EUR,1.20833,159.0,192.12,1,192.12
15,9986,B,B,3B,2025-05-02,2025-02-04,2025-03-27,2025-07-21,Y,USD,USD,GBP,0.79289,1179.0,934.82,2,1869.64
16,9985,B,B,3B,2025-07-30,2025-04-17,2025-02-05,2025-01-14,Y,EUR,EUR,GBP,0.8276,36.02,29.81,2,59.62
