Currency from,Currency to,Conversion unit,Rate,Effective date  
[EUR] EUR,[GBP] GBP,1,0.86471,01/08/2025
[EUR] EUR,[USD] USD,1,1.16678,01/08/2025
[ZMW] ZMW,[GBP] GBP,1,0.03184,01/08/2025
[ZMW] ZMW,[USD] USD,1,0.04296,01/08/2025
[ZMW] ZMW,[EUR] EUR,1,0.03682,01/08/2025
[ZAR] ZAR,[GBP] GBP,1,0.04202,01/08/2025
[ZAR] ZAR,[USD] USD,1,0.0567,01/08/2025
[ZAR] ZAR,[EUR] EUR,1,0.0486,01/08/2025
[XPF] XPF,[GBP] GBP,1,0.00725,01/08/2025
[XPF] XPF,[USD] USD,1,0.00978,01/08/2025
[XPF] XPF,[EUR] EUR,1,0.00838,01/08/2025
[XOF] XOF,[GBP] GBP,1,0.00132,01/08/2025
[XOF] XOF,[USD] USD,1,0.00178,01/08/2025
[XOF] XOF,[EUR] EUR,1,0.00152,01/08/2025
[XCD] XCD,[GBP] GBP,1,0.27448,01/08/2025
[XCD] XCD,[USD] USD,1,0.37037,01/08/2025
[XCD] XCD,[EUR] EUR,1,0.31743,01/08/2025
[XAF] XAF,[GBP] GBP,1,0.00132,01/08/2025
[XAF] XAF,[USD] USD,1,0.00178,01/08/2025
[XAF] XAF,[EUR] EUR,1,0.00152,01/08/2025
[VUV] VUV,[GBP] GBP,1,0.00622,01/08/2025
[VUV] VUV,[USD] USD,1,0.00839,01/08/2025
[VUV] VUV,[EUR] EUR,1,0.00719,01/08/2025
[VND] VND,[GBP] GBP,1,0.00003,01/08/2025
[VND] VND,[USD] USD,1,0.00004,01/08/2025
[VND] VND,[EUR] EUR,1,0.00003,01/08/2025
[USD] USD,[GBP] GBP,1,0.7411,01/08/2025
[USD] USD,[EUR] EUR,1,0.85706,01/08/2025
[UAH] UAH,[GBP] GBP,1,0.01793,01/08/2025
[UAH] UAH,[USD] USD,1,0.0242,01/08/2025
[UAH] UAH,[EUR] EUR,1,0.02074,01/08/2025
[TWD] TWD,[GBP] GBP,1,0.02449,01/08/2025
[TWD] TWD,[USD] USD,1,0.03304,01/08/2025
[TWD] TWD,[EUR] EUR,1,0.02832,01/08/2025
[TTD] TTD,[GBP] GBP,1,0.10954,01/08/2025
[TTD] TTD,[USD] USD,1,0.1478,01/08/2025
[TTD] TTD,[EUR] EUR,1,0.12668,01/08/2025
[TRY] TRY,[GBP] GBP,1,0.01812,01/08/2025
[TRY] TRY,[USD] USD,1,0.02445,01/08/2025
[TRY] TRY,[EUR] EUR,1,0.02095,01/08/2025
[TOP] TOP,[GBP] GBP,1,0.30743,01/08/2025
[TOP] TOP,[USD] USD,1,0.41483,01/08/2025
[TOP] TOP,[EUR] EUR,1,0.35553,01/08/2025
[TND] TND,[GBP] GBP,1,0.25443,01/08/2025
[TND] TND,[USD] USD,1,0.34332,01/08/2025
[TND] TND,[EUR] EUR,1,0.29424,01/08/2025
[THB] THB,[GBP] GBP,1,0.0227,01/08/2025
[THB] THB,[USD] USD,1,0.03062,01/08/2025
[THB] THB,[EUR] EUR,1,0.02625,01/08/2025
[SZL] SZL,[GBP] GBP,1,0.04202,01/08/2025
[SZL] SZL,[USD] USD,1,0.0567,01/08/2025
[SZL] SZL,[EUR] EUR,1,0.0486,01/08/2025
[SGD] SGD,[GBP] GBP,1,0.57698,01/08/2025
[SGD] SGD,[USD] USD,1,0.77854,01/08/2025
[SGD] SGD,[EUR] EUR,1,0.66726,01/08/2025
[SEK] SEK,[GBP] GBP,1,0.07746,01/08/2025
[SEK] SEK,[USD] USD,1,0.10452,01/08/2025
[SEK] SEK,[EUR] EUR,1,0.08958,01/08/2025
[SDG] SDG,[GBP] GBP,1,0.00034,01/08/2025
[SDG] SDG,[USD] USD,1,0.00046,01/08/2025
[SDG] SDG,[EUR] EUR,1,0.0004,01/08/2025
[SCR] SCR,[GBP] GBP,1,0.04891,01/08/2025
[SCR] SCR,[USD] USD,1,0.066,01/08/2025
[SCR] SCR,[EUR] EUR,1,0.05656,01/08/2025
[SAR] SAR,[GBP] GBP,1,0.19763,01/08/2025
[SAR] SAR,[USD] USD,1,0.26667,01/08/2025
[SAR] SAR,[EUR] EUR,1,0.22855,01/08/2025
[RWF] RWF,[GBP] GBP,1,0.00051,01/08/2025
[RWF] RWF,[USD] USD,1,0.00069,01/08/2025
[RWF] RWF,[EUR] EUR,1,0.00059,01/08/2025
[RUB] RUB,[GBP] GBP,1,0.00919,01/08/2025
[RUB] RUB,[USD] USD,1,0.01241,01/08/2025
[RUB] RUB,[EUR] EUR,1,0.01063,01/08/2025
[RSD] RSD,[GBP] GBP,1,0.00737,01/08/2025
[RSD] RSD,[USD] USD,1,0.00995,01/08/2025
[RSD] RSD,[EUR] EUR,1,0.00853,01/08/2025
[RON] RON,[GBP] GBP,1,0.17082,01/08/2025
[RON] RON,[USD] USD,1,0.23049,01/08/2025
[RON] RON,[EUR] EUR,1,0.19754,01/08/2025
[QAR] QAR,[GBP] GBP,1,0.2036,01/08/2025
[QAR] QAR,[USD] USD,1,0.27473,01/08/2025
[QAR] QAR,[EUR] EUR,1,0.23545,01/08/2025
[PYG] PYG,[GBP] GBP,1,0.0001,01/08/2025
[PYG] PYG,[USD] USD,1,0.00014,01/08/2025
[PYG] PYG,[EUR] EUR,1,0.00012,01/08/2025
[PLN] PLN,[GBP] GBP,1,0.20325,01/08/2025
[PLN] PLN,[USD] USD,1,0.27425,01/08/2025
[PLN] PLN,[EUR] EUR,1,0.23505,01/08/2025
[PKR] PKR,[GBP] GBP,1,0.00261,01/08/2025
[PKR] PKR,[USD] USD,1,0.00353,01/08/2025
[PKR] PKR,[EUR] EUR,1,0.00302,01/08/2025
[PHP] PHP,[GBP] GBP,1,0.01297,01/08/2025
[PHP] PHP,[USD] USD,1,0.0175,01/08/2025
[PHP] PHP,[EUR] EUR,1,0.015,01/08/2025
[PGK] PGK,[GBP] GBP,1,0.1739,01/08/2025
[PGK] PGK,[USD] USD,1,0.23465,01/08/2025
[PGK] PGK,[EUR] EUR,1,0.20111,01/08/2025
[OMR] OMR,[GBP] GBP,1,1.92745,01/08/2025
[OMR] OMR,[USD] USD,1,2.60078,01/08/2025
[OMR] OMR,[EUR] EUR,1,2.22906,01/08/2025
[NZD] NZD,[GBP] GBP,1,0.4351,01/08/2025
[NZD] NZD,[USD] USD,1,0.5871,01/08/2025
[NZD] NZD,[EUR] EUR,1,0.50318,01/08/2025
[NPR] NPR,[GBP] GBP,1,0.00531,01/08/2025
[NPR] NPR,[USD] USD,1,0.00717,01/08/2025
[NPR] NPR,[EUR] EUR,1,0.00614,01/08/2025
[NOK] NOK,[GBP] GBP,1,0.07271,01/08/2025
[NOK] NOK,[USD] USD,1,0.09811,01/08/2025
[NOK] NOK,[EUR] EUR,1,0.08409,01/08/2025
[NGN] NGN,[GBP] GBP,1,0.00048,01/08/2025
[NGN] NGN,[USD] USD,1,0.00065,01/08/2025
[NGN] NGN,[EUR] EUR,1,0.00056,01/08/2025
[NAD] NAD,[GBP] GBP,1,0.04202,01/08/2025
[NAD] NAD,[USD] USD,1,0.0567,01/08/2025
[NAD] NAD,[EUR] EUR,1,0.0486,01/08/2025
[MZN] MZN,[GBP] GBP,1,0.01149,01/08/2025
[MZN] MZN,[USD] USD,1,0.0155,01/08/2025
[MZN] MZN,[EUR] EUR,1,0.01329,01/08/2025
[MYR] MYR,[GBP] GBP,1,0.17531,01/08/2025
[MYR] MYR,[USD] USD,1,0.23655,01/08/2025
[MYR] MYR,[EUR] EUR,1,0.20274,01/08/2025
[MXN] MXN,[GBP] GBP,1,0.03954,01/08/2025
[MXN] MXN,[USD] USD,1,0.05336,01/08/2025
[MXN] MXN,[EUR] EUR,1,0.04573,01/08/2025
[MWK] MWK,[GBP] GBP,1,0.00042,01/08/2025
[MWK] MWK,[USD] USD,1,0.00057,01/08/2025
[MWK] MWK,[EUR] EUR,1,0.00049,01/08/2025
[MUR] MUR,[GBP] GBP,1,0.01586,01/08/2025
[MUR] MUR,[USD] USD,1,0.0214,01/08/2025
[MUR] MUR,[EUR] EUR,1,0.01834,01/08/2025
[MRU] MRU,[GBP] GBP,1,0.01857,01/08/2025
[MRU] MRU,[USD] USD,1,0.02506,01/08/2025
[MRU] MRU,[EUR] EUR,1,0.02148,01/08/2025
[MNT] MNT,[GBP] GBP,1,0.00021,01/08/2025
[MNT] MNT,[USD] USD,1,0.00028,01/08/2025
[MNT] MNT,[EUR] EUR,1,0.00024,01/08/2025
[MKD] MKD,[GBP] GBP,1,0.01405,01/08/2025
[MKD] MKD,[USD] USD,1,0.01896,01/08/2025
[MKD] MKD,[EUR] EUR,1,0.01625,01/08/2025
[MGA] MGA,[GBP] GBP,1,0.00017,01/08/2025
[MGA] MGA,[USD] USD,1,0.00022,01/08/2025
[MGA] MGA,[EUR] EUR,1,0.00019,01/08/2025
[MAD] MAD,[GBP] GBP,1,0.08155,01/08/2025
[MAD] MAD,[USD] USD,1,0.11004,01/08/2025
[MAD] MAD,[EUR] EUR,1,0.09431,01/08/2025
[LKR] LKR,[GBP] GBP,1,0.00243,01/08/2025
[LKR] LKR,[USD] USD,1,0.00328,01/08/2025
[LKR] LKR,[EUR] EUR,1,0.00281,01/08/2025
[KZT] KZT,[GBP] GBP,1,0.00138,01/08/2025
[KZT] KZT,[USD] USD,1,0.00186,01/08/2025
[KZT] KZT,[EUR] EUR,1,0.00159,01/08/2025
[KWD] KWD,[GBP] GBP,1,2.41926,01/08/2025
[KWD] KWD,[USD] USD,1,3.26445,01/08/2025
[KWD] KWD,[EUR] EUR,1,2.79783,01/08/2025
[KRW] KRW,[GBP] GBP,1,0.00053,01/08/2025
[KRW] KRW,[USD] USD,1,0.00072,01/08/2025
[KRW] KRW,[EUR] EUR,1,0.00062,01/08/2025
[KES] KES,[GBP] GBP,1,0.00569,01/08/2025
[KES] KES,[USD] USD,1,0.00768,01/08/2025
[KES] KES,[EUR] EUR,1,0.00658,01/08/2025
[JPY] JPY,[GBP] GBP,1,0.00502,01/08/2025
[JPY] JPY,[USD] USD,1,0.00678,01/08/2025
[JPY] JPY,[EUR] EUR,1,0.00581,01/08/2025
[JOD] JOD,[GBP] GBP,1,1.04528,01/08/2025
[JOD] JOD,[USD] USD,1,1.41044,01/08/2025
[JOD] JOD,[EUR] EUR,1,1.20882,01/08/2025
[JMD] JMD,[GBP] GBP,1,0.0046,01/08/2025
[JMD] JMD,[USD] USD,1,0.00621,01/08/2025
[JMD] JMD,[EUR] EUR,1,0.00533,01/08/2025
[ISK] ISK,[GBP] GBP,1,0.00602,01/08/2025
[ISK] ISK,[USD] USD,1,0.00812,01/08/2025
[ISK] ISK,[EUR] EUR,1,0.00696,01/08/2025
[IRR] IRR,[GBP] GBP,1,0,01/08/2025
[IRR] IRR,[USD] USD,1,0,01/08/2025
[IRR] IRR,[EUR] EUR,1,0,01/08/2025
[INR] INR,[GBP] GBP,1,0.0085,01/08/2025
[INR] INR,[USD] USD,1,0.01146,01/08/2025
[INR] INR,[EUR] EUR,1,0.00983,01/08/2025
[ILS] ILS,[GBP] GBP,1,0.21804,01/08/2025
[ILS] ILS,[USD] USD,1,0.2942,01/08/2025
[ILS] ILS,[EUR] EUR,1,0.25215,01/08/2025
[IDR] IDR,[GBP] GBP,1,0.00005,01/08/2025
[IDR] IDR,[USD] USD,1,0.00006,01/08/2025
[IDR] IDR,[EUR] EUR,1,0.00005,01/08/2025
[HUF] HUF,[GBP] GBP,1,0.00219,01/08/2025
[HUF] HUF,[USD] USD,1,0.00295,01/08/2025
[HUF] HUF,[EUR] EUR,1,0.00253,01/08/2025
[HTG] HTG,[GBP] GBP,1,0.00563,01/08/2025
[HTG] HTG,[USD] USD,1,0.0076,01/08/2025
[HTG] HTG,[EUR] EUR,1,0.00651,01/08/2025
[HRK] HRK,[GBP] GBP,1,0.11477,01/08/2025
[HRK] HRK,[USD] USD,1,0.15486,01/08/2025
[HRK] HRK,[EUR] EUR,1,0.13272,01/08/2025
[HNL] HNL,[GBP] GBP,1,0.02849,01/08/2025
[HNL] HNL,[USD] USD,1,0.03845,01/08/2025
[HNL] HNL,[EUR] EUR,1,0.03295,01/08/2025
[HKD] HKD,[GBP] GBP,1,0.09486,01/08/2025
[HKD] HKD,[USD] USD,1,0.128,01/08/2025
[HKD] HKD,[EUR] EUR,1,0.1097,01/08/2025
[GYD] GYD,[GBP] GBP,1,0.00352,01/08/2025
[GYD] GYD,[USD] USD,1,0.00475,01/08/2025
[GYD] GYD,[EUR] EUR,1,0.00407,01/08/2025
